assembly_id	label	label_source	taxid	num_SCG_hits	uniq_SCG_hits	perc_comp	perc_redund	num_SCG_hits_after_len_filt	in_final_tree	NCBI_domain	NCBI_phylum	NCBI_class	NCBI_order	NCBI_family	NCBI_genus	NCBI_species
GCF_016881025.1	GCF_016881025.1_Eukaryota_Chordata_Mammalia_Ictidomys_tridecemlineatus	NCBI	43179	15	4	93.75	212.50	3	Yes	Eukaryota	Chordata	Mammalia	Rodentia	Sciuridae	Ictidomys	Ictidomys tridecemlineatus
GCF_016906955.1	GCF_016906955.1_Eukaryota_Chordata_Mammalia_Phacochoerus_africanus	NCBI	41426	16	3	100.00	206.25	3	Yes	Eukaryota	Chordata	Mammalia	Artiodactyla	Suidae	Phacochoerus	Phacochoerus africanus
GCF_018345385.1	GCF_018345385.1_Eukaryota_Chordata_Mammalia_Vulpes_lagopus_Blue_001	NCBI	494514	16	2	100.00	468.75	2	No	Eukaryota	Chordata	Mammalia	Carnivora	Canidae	Vulpes	Vulpes lagopus
GCF_018350155.1	GCF_018350155.1_Eukaryota_Chordata_Mammalia_Leopardus_geoffroyi	NCBI	46844	16	4	100.00	281.25	4	Yes	Eukaryota	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus geoffroyi
GCF_018350175.1	GCF_018350175.1_Eukaryota_Chordata_Mammalia_Felis_catus	NCBI	9685	16	4	100.00	300.00	4	Yes	Eukaryota	Chordata	Mammalia	Carnivora	Felidae	Felis	Felis catus
GCF_018350195.1	GCF_018350195.1_Eukaryota_Chordata_Mammalia_Panthera_tigris	NCBI	9694	16	5	100.00	287.50	5	Yes	Eukaryota	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris
GCF_018350215.1	GCF_018350215.1_Eukaryota_Chordata_Mammalia_Panthera_leo	NCBI	9689	16	4	100.00	275.00	4	Yes	Eukaryota	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera leo
GCF_019320065.1	GCF_019320065.1_Eukaryota_Chordata_Mammalia_Cervus_canadensis	NCBI	1574408	16	0	100.00	775.00	0	No	Eukaryota	Chordata	Mammalia	Artiodactyla	Cervidae	Cervus	Cervus canadensis
GCF_019393635.1	GCF_019393635.1_Eukaryota_Chordata_Mammalia_Dromiciops_gliroides	NCBI	33562	16	0	100.00	818.75	0	No	Eukaryota	Chordata	Mammalia	Microbiotheria	Microbiotheriidae	Dromiciops	Dromiciops gliroides
GCF_019923935.1	GCF_019923935.1_Eukaryota_Chordata_Mammalia_Bubalus_bubalis	NCBI	89462	16	1	100.00	356.25	1	No	Eukaryota	Chordata	Mammalia	Artiodactyla	Bovidae	Bubalus	Bubalus bubalis
GCF_020171115.1	GCF_020171115.1_Eukaryota_Chordata_Mammalia_Neogale_vison	NCBI	452646	16	4	100.00	312.50	4	Yes	Eukaryota	Chordata	Mammalia	Carnivora	Mustelidae	Neogale	Neogale vison
GCF_020740605.2	GCF_020740605.2_Eukaryota_Chordata_Mammalia_Lemur_catta	NCBI	9447	16	4	100.00	262.50	4	Yes	Eukaryota	Chordata	Mammalia	Primates	Lemuridae	Lemur	Lemur catta
GCF_020740685.1	GCF_020740685.1_Eukaryota_Chordata_Mammalia_Jaculus_jaculus	NCBI	51337	16	1	100.00	293.75	1	No	Eukaryota	Chordata	Mammalia	Rodentia	Dipodidae	Jaculus	Jaculus jaculus
GCF_021288785.2	GCF_021288785.2_Eukaryota_Chordata_Mammalia_Mirounga_angustirostris	NCBI	9716	16	3	100.00	406.25	3	Yes	Eukaryota	Chordata	Mammalia	Carnivora	Phocidae	Mirounga	Mirounga angustirostris
GCF_021613505.1	GCF_021613505.1_Eukaryota_Chordata_Mammalia_Equus_quagga	NCBI	89248	16	3	100.00	193.75	3	Yes	Eukaryota	Chordata	Mammalia	Perissodactyla	Equidae	Equus	Equus quagga
GCF_022682495.1	GCF_022682495.1_Eukaryota_Chordata_Mammalia_Desmodus_rotundus	NCBI	9430	16	1	100.00	262.50	1	No	Eukaryota	Chordata	Mammalia	Chiroptera	Phyllostomidae	Desmodus	Desmodus rotundus
GCF_022837055.1	GCF_022837055.1_Eukaryota_Chordata_Mammalia_Prionailurus_viverrinus	NCBI	61388	16	2	100.00	318.75	2	No	Eukaryota	Chordata	Mammalia	Carnivora	Felidae	Prionailurus	Prionailurus viverrinus
GCF_023091745.1	GCF_023091745.1_Eukaryota_Chordata_Mammalia_Budorcas_taxicolor	NCBI	37181	16	3	100.00	356.25	3	Yes	Eukaryota	Chordata	Mammalia	Artiodactyla	Bovidae	Budorcas	Budorcas taxicolor
GCF_023159225.1	GCF_023159225.1_Eukaryota_Chordata_Mammalia_Perognathus_longimembris	NCBI	214514	16	3	100.00	225.00	3	Yes	Eukaryota	Chordata	Mammalia	Rodentia	Heteromyidae	Perognathus	Perognathus longimembris
GCF_023721935.1	GCF_023721935.1_Eukaryota_Chordata_Mammalia_Panthera_uncia	NCBI	29064	16	2	100.00	337.50	2	No	Eukaryota	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera uncia
GCF_024139225.1	GCF_024139225.1_Eukaryota_Chordata_Mammalia_Suncus_etruscus	NCBI	109475	16	1	100.00	281.25	1	No	Eukaryota	Chordata	Mammalia	Eulipotyphla	Soricidae	Suncus	Suncus etruscus
GCF_024166365.1	GCF_024166365.1_Eukaryota_Chordata_Mammalia_Elephas_maximus	NCBI	99487	16	3	100.00	293.75	3	Yes	Eukaryota	Chordata	Mammalia	Proboscidea	Elephantidae	Elephas	Elephas maximus
GCF_024542745.1	GCF_024542745.1_Eukaryota_Chordata_Mammalia_Macaca_thibetana	NCBI	257877	16	0	100.00	768.75	0	No	Eukaryota	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca thibetana
GCF_027406575.1	GCF_027406575.1_Eukaryota_Chordata_Mammalia_Nycticebus_coucang	NCBI	9470	16	0	100.00	587.50	0	No	Eukaryota	Chordata	Mammalia	Primates	Lorisidae	Nycticebus	Nycticebus coucang
GCF_027475565.1	GCF_027475565.1_Eukaryota_Chordata_Mammalia_Acinonyx_jubatus	NCBI	32536	16	4	100.00	250.00	4	Yes	Eukaryota	Chordata	Mammalia	Carnivora	Felidae	Acinonyx	Acinonyx jubatus
GCF_028885625.1	GCF_028885625.1_Eukaryota_Chordata_Mammalia_Pongo_pygmaeus	NCBI	9600	15	0	93.75	400.00	0	No	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Pongo	Pongo pygmaeus
GCF_028885655.1	GCF_028885655.1_Eukaryota_Chordata_Mammalia_Pongo_abelii	NCBI	9601	16	0	100.00	525.00	0	No	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Pongo	Pongo abelii
GCF_900094665.2	GCF_900094665.2_Eukaryota_Chordata_Mammalia_Mus_caroli	NCBI	10089	16	3	100.00	218.75	3	Yes	Eukaryota	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus caroli
GCF_900095145.1	GCF_900095145.1_Eukaryota_Chordata_Mammalia_Mus_pahari	NCBI	10093	16	4	100.00	181.25	3	Yes	Eukaryota	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus pahari
GCF_902635505.1	GCF_902635505.1_Eukaryota_Chordata_Mammalia_Sarcophilus_harrisii	NCBI	9305	16	5	100.00	143.75	4	Yes	Eukaryota	Chordata	Mammalia	Dasyuromorphia	Dasyuridae	Sarcophilus	Sarcophilus harrisii
GCF_902655055.1	GCF_902655055.1_Eukaryota_Chordata_Mammalia_Lutra_lutra	NCBI	9657	16	3	100.00	343.75	3	Yes	Eukaryota	Chordata	Mammalia	Carnivora	Mustelidae	Lutra	Lutra lutra
GCF_902686445.1	GCF_902686445.1_Eukaryota_Chordata_Mammalia_Sciurus_carolinensis	NCBI	30640	15	3	93.75	275.00	3	Yes	Eukaryota	Chordata	Mammalia	Rodentia	Sciuridae	Sciurus	Sciurus carolinensis
GCF_903992535.2	GCF_903992535.2_Eukaryota_Chordata_Mammalia_Arvicola_amphibius	NCBI	1047088	16	1	100.00	381.25	1	No	Eukaryota	Chordata	Mammalia	Rodentia	Cricetidae	Arvicola	Arvicola amphibius
GCF_903995425.1	GCF_903995425.1_Eukaryota_Chordata_Mammalia_Onychomys_torridus	NCBI	38674	16	4	100.00	168.75	4	Yes	Eukaryota	Chordata	Mammalia	Rodentia	Cricetidae	Onychomys	Onychomys torridus
GCF_903995435.1	GCF_903995435.1_Eukaryota_Chordata_Mammalia_Acomys_russatus	NCBI	60746	16	2	100.00	368.75	1	No	Eukaryota	Chordata	Mammalia	Rodentia	Muridae	Acomys	Acomys russatus
GCF_910594005.1	GCF_910594005.1_Eukaryota_Chordata_Mammalia_Cervus_elaphus	NCBI	9860	16	1	100.00	743.75	1	No	Eukaryota	Chordata	Mammalia	Artiodactyla	Cervidae	Cervus	Cervus elaphus
GCF_922984935.1	GCF_922984935.1_Eukaryota_Chordata_Mammalia_Meles_meles	NCBI	9662	16	3	100.00	312.50	3	Yes	Eukaryota	Chordata	Mammalia	Carnivora	Mustelidae	Meles	Meles meles
GCF_937001465.1	GCF_937001465.1_Eukaryota_Chordata_Mammalia_Orcinus_orca	NCBI	9733	16	1	100.00	437.50	1	No	Eukaryota	Chordata	Mammalia	Artiodactyla	Delphinidae	Orcinus	Orcinus orca
GCF_947179515.1	GCF_947179515.1_Eukaryota_Chordata_Mammalia_Apodemus_sylvaticus	NCBI	10129	16	4	100.00	281.25	4	Yes	Eukaryota	Chordata	Mammalia	Rodentia	Muridae	Apodemus	Apodemus sylvaticus
